timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610650427103,24858,CreateUser,201,,Load Test 1-473,text,true,,299,228,366,366,http://localhost:9092/user/create,24858,0,0
1610650427734,24278,CreateUser,201,,Load Test 1-472,text,true,,299,228,365,365,http://localhost:9092/user/create,24278,0,0
1610650427810,24305,UpdateUser,202,,Load Test 1-85,text,true,,389,242,364,364,http://localhost:9092/user/update/1,24305,0,0
1610650427931,24340,deleting user,204,,Load Test 1-379,,true,,191,211,363,363,http://localhost:9092/user/delete/556,0,0,0
1610650427978,24397,UpdateUser,202,,Load Test 1-83,text,true,,389,242,362,362,http://localhost:9092/user/update/1,24397,0,0
1610650428038,24441,UpdateUser,202,,Load Test 1-109,text,true,,389,242,361,361,http://localhost:9092/user/update/1,24441,0,0
1610650428067,24477,CreateUser,201,,Load Test 1-468,text,true,,299,228,360,360,http://localhost:9092/user/create,24476,0,0
1610650439914,12632,deleting user,404,,Load Test 1-180,text,false,,376,208,359,359,http://localhost:9092/user/delete/,12631,0,1
1610650439959,12589,deleting user,404,,Load Test 1-178,text,false,,376,208,358,358,http://localhost:9092/user/delete/,12589,0,1
1610650439990,12560,deleting user,404,,Load Test 1-179,text,false,,376,208,357,357,http://localhost:9092/user/delete/,12559,0,1
1610650440006,12545,deleting user,404,,Load Test 1-177,text,false,,376,208,356,356,http://localhost:9092/user/delete/,12545,0,1
1610650440022,12531,deleting user,404,,Load Test 1-176,text,false,,376,208,355,355,http://localhost:9092/user/delete/,12531,0,0
1610650428113,24536,UpdateUser,202,,Load Test 1-84,text,true,,389,242,354,354,http://localhost:9092/user/update/1,24536,0,0
1610650440085,12567,deleting user,404,,Load Test 1-175,text,false,,376,208,353,353,http://localhost:9092/user/delete/,12566,0,1
1610650440100,12554,deleting user,404,,Load Test 1-174,text,false,,376,208,352,352,http://localhost:9092/user/delete/,12554,0,1
1610650440116,12540,deleting user,404,,Load Test 1-172,text,false,,376,208,351,351,http://localhost:9092/user/delete/,12540,0,1
1610650440178,12480,deleting user,404,,Load Test 1-173,text,false,,376,208,350,350,http://localhost:9092/user/delete/,12479,0,1
1610650440224,12436,deleting user,404,,Load Test 1-171,text,false,,376,208,349,349,http://localhost:9092/user/delete/,12436,0,1
1610650440302,12360,deleting user,404,,Load Test 1-170,text,false,,376,208,348,348,http://localhost:9092/user/delete/,12360,0,0
1610650428205,24492,deleting user,500,,Load Test 1-377,text,false,,362,211,347,347,http://localhost:9092/user/delete/556,24492,0,0
1610650440348,12352,deleting user,404,,Load Test 1-167,text,false,,376,208,346,346,http://localhost:9092/user/delete/,12352,0,1
1610650440395,12308,deleting user,404,,Load Test 1-169,text,false,,376,208,345,345,http://localhost:9092/user/delete/,12308,0,1
1610650428250,24552,UpdateUser,202,,Load Test 1-76,text,true,,389,242,344,344,http://localhost:9092/user/update/1,24552,0,0
1610650428296,24567,CreateUser,201,,Load Test 1-470,text,true,,299,228,343,343,http://localhost:9092/user/create,24567,0,0
1610650440455,12410,deleting user,404,,Load Test 1-168,text,false,,376,208,342,342,http://localhost:9092/user/delete/,12410,0,1
1610650428311,24661,UpdateUser,202,,Load Test 1-77,text,true,,389,242,341,341,http://localhost:9092/user/update/1,24661,0,0
1610650440516,12459,deleting user,404,,Load Test 1-166,text,false,,376,208,340,340,http://localhost:9092/user/delete/,12458,0,0
1610650428357,24724,UpdateUser,202,,Load Test 1-74,text,true,,389,242,339,339,http://localhost:9092/user/update/1,24723,0,0
1610650428372,24813,UpdateUser,202,,Load Test 1-73,text,true,,389,242,338,338,http://localhost:9092/user/update/1,24813,0,0
1610650440637,12550,deleting user,404,,Load Test 1-165,text,false,,376,208,337,337,http://localhost:9092/user/delete/,12550,0,1
1610650428403,24886,UpdateUser,202,,Load Test 1-476,text,true,,389,242,336,336,http://localhost:9092/user/update/1,24886,0,0
1610650431330,22025,ReadUsers,200,,Load Test 1-399,text,true,,29710,183,335,335,http://localhost:9092/user/read,22025,0,0
1610650442662,10696,deleting user,404,,Load Test 1-162,text,false,,376,208,334,334,http://localhost:9092/user/delete/,10696,0,1
1610650442783,10577,deleting user,404,,Load Test 1-163,text,false,,376,208,333,333,http://localhost:9092/user/delete/,10577,0,1
1610650428418,24973,UpdateUser,202,,Load Test 1-111,text,true,,389,242,332,332,http://localhost:9092/user/update/1,24973,0,0
1610650428433,25024,UpdateUser,202,,Load Test 1-106,text,true,,389,242,331,331,http://localhost:9092/user/update/1,25024,0,0
1610650428464,25029,UpdateUser,202,,Load Test 1-105,text,true,,389,242,330,330,http://localhost:9092/user/update/1,25029,0,0
1610650428527,25014,deleting user,500,,Load Test 1-376,text,false,,362,211,329,329,http://localhost:9092/user/delete/556,25013,0,0
1610650428511,25053,UpdateUser,202,,Load Test 1-108,text,true,,389,242,328,328,http://localhost:9092/user/update/1,25052,0,0
1610650443061,10504,deleting user,404,,Load Test 1-164,text,false,,376,208,327,327,http://localhost:9092/user/delete/,10504,0,0
1610650428556,25094,UpdateUser,202,,Load Test 1-102,text,true,,389,242,326,326,http://localhost:9092/user/update/1,25094,0,0
1610650428572,25090,UpdateUser,202,,Load Test 1-100,text,true,,389,242,325,325,http://localhost:9092/user/update/1,25089,0,0
1610650428572,25156,CreateUser,201,,Load Test 1-469,text,true,,299,228,324,324,http://localhost:9092/user/create,25156,0,0
1610650428603,25209,UpdateUser,202,,Load Test 1-103,text,true,,389,242,323,323,http://localhost:9092/user/update/1,25209,0,0
1610650428618,25249,UpdateUser,202,,Load Test 1-55,text,true,,389,242,322,322,http://localhost:9092/user/update/1,25249,0,0
1610650444243,9627,deleting user,404,,Load Test 1-161,text,false,,376,208,321,321,http://localhost:9092/user/delete/,9627,0,1
1610650428618,25306,UpdateUser,202,,Load Test 1-54,text,true,,389,242,320,320,http://localhost:9092/user/update/1,25306,0,0
1610650444366,9560,deleting user,404,,Load Test 1-155,text,false,,376,208,319,319,http://localhost:9092/user/delete/,9560,0,0
1610650428664,25311,deleting user,500,,Load Test 1-322,text,false,,362,211,318,318,http://localhost:9092/user/delete/556,25310,0,0
1610650428648,25335,UpdateUser,202,,Load Test 1-53,text,true,,389,242,317,317,http://localhost:9092/user/update/1,25335,0,0
1610650428664,25421,UpdateUser,202,,Load Test 1-49,text,true,,389,242,316,316,http://localhost:9092/user/update/1,25421,0,0
1610650444566,9521,deleting user,404,,Load Test 1-158,text,false,,376,208,315,315,http://localhost:9092/user/delete/,9521,0,1
1610650444673,9416,deleting user,404,,Load Test 1-159,text,false,,376,208,314,314,http://localhost:9092/user/delete/,9416,0,1
1610650444782,9309,deleting user,404,,Load Test 1-153,text,false,,376,208,313,313,http://localhost:9092/user/delete/,9309,0,1
1610650428709,25400,UpdateUser,202,,Load Test 1-47,text,true,,389,242,312,312,http://localhost:9092/user/update/1,25400,0,0
1610650428709,25481,UpdateUser,202,,Load Test 1-52,text,true,,389,242,311,311,http://localhost:9092/user/update/1,25481,0,0
